Frame,X,Y
0,106,170
1,109,179
2,109,190
3,114,204
4,117,215
5,119,217
6,116,209
7,105,196
8,95,187
9,91,189
10,95,186
11,99,181
12,99,182
13,101,188
14,109,193
15,113,190
16,114,181
17,107,167
18,99,156
19,94,151
20,91,154
21,92,166
22,92,183
23,96,198
24,102,209
25,109,215
26,117,216
27,122,210
28,121,198
29,108,186
30,98,182
31,83,185
32,71,189
33,71,185
34,75,179
35,78,173
36,81,172
37,81,174
38,79,177
39,79,177
40,81,171
41,81,162
42,82,160
43,86,173
44,89,191
45,95,204
46,98,210
47,103,211
48,108,211
49,112,207
50,107,199
51,90,184
52,74,176
53,59,178
54,50,185
55,48,187
56,52,189
57,61,192
58,78,198
59,90,200
60,93,193
61,92,180
62,87,170
63,79,171
64,72,178
65,61,186
66,56,198
67,56,210
68,58,219
69,64,225
70,72,223
71,81,210
72,85,194
73,86,187
74,84,189
75,81,185
76,72,173
77,56,161
78,44,153
79,37,156
80,33,156
81,29,152
82,28,148
83,32,147
84,38,153
85,45,163
86,53,176
87,57,188
88,70,198
89,77,204
90,79,205
91,80,205
92,81,201
93,76,192
94,71,178
95,58,165
96,44,161
97,31,164
98,22,166
99,21,164
100,24,160
101,31,156
102,42,152
103,55,149
104,63,148
105,61,151
106,50,160
107,36,170
108,24,179
109,11,191
110,20,199
111,29,208
112,36,219
113,46,227
114,57,233
115,67,231
116,73,222
117,70,206
118,54,186
119,40,171
120,26,167
121,15,166
122,10,162
123,9,160
124,14,164
125,25,166
126,30,162
127,28,154
128,22,147
129,19,150
130,17,163
131,16,176
132,10,187
133,14,201
134,21,214
135,30,221
136,40,221
137,50,217
138,57,207
139,54,194
140,50,179
141,39,167
142,24,159
143,9,155
144,-4,152
145,-11,149
146,-11,147
147,-4,146
148,7,144
149,13,141
150,13,139
151,10,143
152,9,154
153,8,170
154,9,183
155,5,198
156,10,209
157,11,216
158,13,215
159,18,209
160,22,204
161,21,196
162,19,185
163,14,174
164,9,166
165,7,158
166,6,152
167,3,150
168,-2,151
169,-6,151
170,-8,150
171,-6,147
172,-4,143
173,-4,141
174,-3,153
175,-4,173
176,-14,192
177,3,212
178,13,225
179,25,231
180,32,224
181,36,209
182,30,194
183,26,178
184,12,166
185,-4,160
186,-17,161
187,-23,159
188,-22,155
189,-17,158
190,-10,163
191,-2,167
192,5,167
193,7,159
194,5,145
195,2,137
196,1,147
197,1,164
198,-1,179
199,-13,192
200,-2,202
201,6,207
202,14,206
203,20,198
204,22,186
205,20,172
206,10,163
207,2,161
208,-3,163
209,-5,160
210,-7,156
211,-8,154
212,-5,155
213,1,155
214,8,152
215,11,147
216,8,153
217,4,165
218,-1,177
219,-5,183
220,-6,184
221,-4,185
222,0,185
223,8,184
224,11,184
225,13,185
226,11,184
227,8,178
228,1,168
229,-3,160
230,-5,154
231,-6,150
232,-5,148
233,-3,150
234,-1,152
235,1,150
236,1,147
237,-1,146
238,-3,152
239,-5,162
240,-5,170
241,-5,177
242,-3,184
243,-7,191
244,1,192
245,6,190
246,18,182
247,13,171
248,4,162
249,-4,159
250,-10,160
251,-14,155
252,-16,149
253,-15,148
254,-9,149
255,-4,144
256,-2,137
257,-3,139
258,-4,150
259,-3,165
260,-4,177
261,-3,184
262,-11,193
263,-3,196
264,0,191
265,15,177
266,17,168
267,14,168
268,7,169
269,-2,167
270,-12,162
271,-18,158
272,-18,152
273,-17,148
274,-16,146
275,-15,146
276,-16,144
277,-17,142
278,-15,148
279,-12,161
280,-9,176
281,-11,188
282,-2,200
283,4,206
284,12,206
285,16,199
286,25,184
287,23,176
288,15,169
289,5,163
290,-6,158
291,-15,155
292,-20,153
293,-18,149
294,-14,144
295,-13,139
296,-13,137
297,-14,140
298,-15,149
299,-15,162
300,-13,178
301,-23,191
302,-21,195
303,-6,200
304,0,200
305,0,195
306,16,184
307,16,180
308,11,174
309,4,168
310,-3,160
311,-11,150
312,-20,141
313,-27,138
314,-29,137
315,-26,135
316,-22,135
317,-22,139
318,-22,147
319,-23,157
320,-24,169
321,-25,180
322,-37,192
323,-21,201
324,-15,208
325,-4,215
326,9,217
327,21,215
328,28,208
329,23,196
330,18,180
331,9,163
332,-5,150
333,-19,146
334,-31,149
335,-38,149
336,-36,147
337,-30,144
338,-25,143
339,-27,141
340,-31,142
341,-35,152
342,-37,166
343,-39,179
344,-49,194
345,-33,206
346,-25,219
347,-11,227
