Frame,X,Y
0,282,681
1,283,682
2,282,681
3,285,679
4,286,679
5,285,680
6,284,679
7,283,677
8,285,679
9,283,680
10,283,677
11,280,678
12,282,676
13,282,679
14,282,678
15,274,698
16,272,699
17,271,698
18,271,699
19,272,700
20,280,682
21,269,703
22,268,705
23,267,704
24,267,706
25,267,707
26,266,708
27,265,708
28,267,706
29,264,706
30,265,706
31,265,705
32,266,707
33,265,707
34,264,708
35,264,708
36,264,708
37,264,708
38,263,709
39,263,708
40,264,708
41,263,708
42,263,708
43,268,697
44,269,696
45,268,695
46,268,694
47,267,694
48,267,694
49,267,694
50,332,697
51,267,695
52,262,706
53,261,704
54,261,704
55,263,702
56,263,701
57,264,701
58,264,702
59,264,702
60,265,701
61,263,700
62,263,700
63,264,701
64,264,699
65,266,697
66,265,700
67,267,695
68,267,696
69,267,696
70,267,697
71,267,696
72,267,698
73,267,697
74,266,698
75,355,708
76,268,694
77,267,696
78,268,695
79,267,693
80,267,693
81,268,692
82,268,692
83,267,694
84,267,694
85,267,694
86,267,693
87,265,694
88,266,693
89,267,692
90,266,691
91,266,691
92,266,691
93,264,692
94,265,693
95,265,694
96,265,694
97,264,693
98,264,694
99,264,693
100,263,692
101,262,694
102,262,694
103,262,693
104,185,670
105,262,693
106,262,694
107,176,676
108,348,709
109,261,695
110,260,694
111,260,694
112,338,695
113,336,692
114,260,695
115,261,695
116,260,695
117,261,695
118,261,695
119,260,694
120,331,685
121,332,686
122,261,694
123,260,695
124,260,694
125,261,693
126,261,694
127,341,695
128,262,694
129,263,694
130,262,692
131,263,694
132,264,691
133,263,692
134,262,692
135,264,691
136,264,692
137,264,691
138,265,690
139,265,690
140,265,690
141,265,690
142,264,690
143,351,707
144,264,689
145,264,690
146,177,672
147,177,674
148,177,674
149,263,690
150,263,692
151,264,689
152,263,691
153,263,690
154,263,690
155,180,668
156,262,690
157,263,688
158,263,689
159,262,690
160,263,690
161,261,688
162,262,688
163,184,660
164,184,658
165,262,688
166,262,686
167,262,685
168,262,686
169,261,685
170,261,687
171,184,657
172,184,658
173,261,684
174,183,657
175,261,686
176,261,685
177,262,686
178,263,686
179,262,687
180,178,660
181,179,659
182,262,684
183,262,684
184,262,684
185,175,663
186,261,683
187,261,683
188,176,662
189,262,682
190,261,681
191,261,682
192,261,683
193,262,683
194,347,702
195,261,683
196,261,683
197,262,682
198,262,682
199,261,682
200,262,681
201,262,680
202,262,681
203,262,681
204,261,682
205,262,682
206,262,682
207,262,681
208,262,683
209,261,683
210,262,682
211,262,683
212,345,699
213,261,682
214,261,682
215,261,683
216,261,683
217,343,694
218,260,683
219,258,686
220,258,686
221,258,685
222,259,685
223,342,694
224,259,684
225,259,684
226,259,684
227,258,685
228,258,684
229,257,683
230,256,683
231,256,683
232,256,684
233,256,682
234,256,682
235,257,683
236,257,683
237,258,683
238,257,681
239,257,682
240,257,682
241,256,683
242,256,682
243,257,683
244,257,682
245,258,684
246,258,683
247,257,681
248,257,681
249,257,682
250,257,682
251,257,681
252,257,682
253,257,682
254,257,682
255,257,682
256,257,681
257,258,682
258,257,683
259,257,683
260,257,683
261,257,682
262,257,681
263,257,681
264,257,681
265,258,680
266,258,680
267,258,681
268,257,681
269,259,679
270,258,681
271,257,681
272,257,681
273,257,682
274,257,682
275,257,681
276,257,681
277,256,682
278,256,681
279,255,681
280,255,680
281,255,679
282,255,679
283,254,680
284,255,681
285,255,681
286,255,681
287,255,680
288,255,680
289,254,680
290,254,681
291,254,680
292,254,680
293,253,681
294,253,681
295,253,681
296,253,682
297,253,681
298,253,680
299,254,681
300,261,656
301,255,674
302,256,672
303,257,671
304,256,671
305,256,671
306,256,671
307,256,671
308,257,670
309,256,670
310,256,670
311,256,670
312,256,670
313,257,670
314,256,669
315,256,669
316,256,669
317,256,669
318,257,668
319,256,669
320,256,668
321,256,668
322,256,668
323,256,668
324,256,668
325,256,667
326,254,670
327,253,668
328,253,669
329,253,669
330,253,671
331,254,676
