Frame,X,Y
0,350,726
1,350,729
2,351,728
3,343,601
4,343,600
5,344,601
6,345,597
7,172,726
8,171,729
9,350,712
10,349,712
11,349,708
12,347,706
13,346,709
14,346,709
15,345,710
16,345,710
17,345,711
18,344,712
19,344,709
20,343,710
21,342,708
22,269,713
23,269,711
24,268,714
25,267,711
26,267,712
27,266,714
28,267,711
29,265,708
30,264,709
31,265,706
32,264,707
33,264,707
34,263,708
35,263,707
36,263,708
37,263,707
38,263,709
39,262,709
40,261,707
41,262,706
42,262,707
43,262,709
44,263,707
45,263,706
46,262,707
47,260,707
48,260,708
49,260,708
50,261,706
51,261,708
52,262,707
53,263,707
54,264,707
55,264,707
56,265,707
57,266,705
58,266,707
59,343,705
60,266,704
61,266,704
62,266,702
63,336,691
64,267,702
65,345,697
66,267,701
67,269,701
68,269,701
69,269,700
70,270,699
71,270,698
72,270,699
73,269,698
74,266,701
75,269,697
76,269,695
77,269,697
78,269,695
79,269,694
80,269,694
81,270,693
82,269,693
83,269,694
84,269,694
85,268,694
86,268,692
87,269,695
88,270,694
89,270,693
90,269,692
91,267,693
92,267,693
93,266,693
94,267,693
95,267,693
96,266,692
97,266,694
98,266,694
99,266,693
100,265,691
101,264,693
102,263,692
103,263,692
104,262,694
105,264,691
106,263,692
107,263,693
108,264,694
109,262,694
110,262,694
111,262,695
112,261,695
113,262,694
114,333,688
115,330,684
116,330,684
117,331,686
118,331,685
119,332,685
120,263,693
121,262,693
122,262,693
123,262,693
124,263,693
125,263,694
126,264,695
127,265,695
128,264,693
129,265,693
130,265,691
131,265,693
132,265,691
133,265,694
134,265,695
135,265,693
136,266,692
137,266,691
138,265,691
139,265,690
140,265,689
141,265,690
142,265,690
143,265,690
144,265,690
145,265,690
146,265,692
147,265,693
148,265,691
149,265,690
150,265,691
151,265,690
152,265,692
153,265,691
154,265,691
155,347,702
156,347,703
157,263,693
158,263,692
159,263,691
160,263,693
161,263,691
162,263,690
163,183,660
164,183,659
165,263,689
166,262,686
167,262,686
168,262,686
169,261,686
170,262,685
171,262,686
172,261,685
173,262,684
174,262,684
175,261,685
176,261,685
177,262,687
178,263,688
179,346,704
180,346,703
181,349,710
182,346,701
183,346,704
184,346,702
185,348,707
186,347,703
187,346,700
188,348,705
189,347,701
190,347,701
191,347,701
192,261,687
193,263,688
194,262,688
195,263,687
196,263,686
197,263,685
198,263,685
199,262,686
200,262,683
201,262,683
202,262,684
203,262,684
204,262,684
205,262,685
206,263,685
207,263,684
208,262,684
209,262,684
210,262,682
211,263,683
212,262,683
213,263,681
214,263,680
215,263,681
216,262,682
217,263,683
218,262,684
219,261,684
220,261,685
221,260,684
222,260,685
223,344,698
224,260,687
225,260,685
226,260,685
227,259,685
228,259,685
229,259,684
230,258,683
231,258,684
232,343,698
233,258,682
234,259,683
235,341,694
236,259,683
237,258,683
238,258,681
239,259,682
240,258,682
241,258,683
242,257,683
243,258,684
244,258,685
245,259,683
246,259,682
247,258,681
248,258,681
249,258,681
250,258,680
251,258,681
252,258,681
253,258,681
254,258,681
255,258,681
256,258,680
257,258,681
258,258,681
259,258,681
260,259,681
261,259,681
262,259,681
263,259,680
264,259,680
265,260,679
266,260,680
267,260,679
268,260,680
269,260,680
270,260,681
271,259,683
272,259,682
273,259,681
274,259,680
275,260,680
276,259,679
277,259,681
278,258,681
279,257,680
280,258,680
281,258,679
282,258,678
283,256,678
284,257,679
285,257,679
286,257,678
287,257,678
288,257,678
289,257,677
290,256,677
291,256,677
292,256,677
293,256,677
294,256,678
295,257,679
296,257,680
297,257,678
298,257,678
299,257,678
300,180,654
301,338,693
302,338,694
303,340,697
304,260,685
305,259,682
306,258,681
307,257,679
308,257,680
309,258,684
310,258,684
311,258,682
312,259,681
313,259,680
314,259,678
315,258,676
316,258,675
317,258,674
318,258,674
319,257,673
320,257,673
321,257,676
322,257,676
323,258,675
324,256,673
325,340,681
326,340,684
327,339,681
328,339,682
329,338,681
330,336,678
331,336,684
