Frame,x,y
0,350,45
1,350,47
2,351,47
3,343,-78
4,343,-79
5,344,-79
6,345,-82
7,172,49
8,171,50
9,350,32
10,349,35
11,349,30
12,347,30
13,346,30
14,346,31
15,345,12
16,345,11
17,345,13
18,344,13
19,344,9
20,343,28
21,342,5
22,269,8
23,269,7
24,268,8
25,267,4
26,267,4
27,266,6
28,267,5
29,265,2
30,264,3
31,265,1
32,264,0
33,264,0
34,263,0
35,263,-1
36,263,0
37,263,-1
38,263,0
39,262,1
40,261,-1
41,262,-2
42,262,-1
43,262,12
44,263,11
45,263,11
46,262,13
47,260,13
48,260,14
49,260,14
50,261,9
51,261,13
52,262,1
53,263,3
54,264,3
55,264,5
56,265,6
57,266,4
58,266,5
59,343,3
60,266,3
61,266,4
62,266,2
63,336,-10
64,267,3
65,345,0
66,267,1
67,269,6
68,269,5
69,269,4
70,270,2
71,270,2
72,270,1
73,269,1
74,266,3
75,269,-11
76,269,1
77,269,1
78,269,0
79,269,1
80,269,1
81,270,1
82,269,1
83,269,0
84,269,0
85,268,0
86,268,-1
87,269,1
88,270,1
89,270,1
90,269,1
91,267,2
92,267,2
93,266,1
94,267,0
95,267,-1
96,266,-2
97,266,1
98,266,0
99,266,0
100,265,-1
101,264,-1
102,263,-2
103,263,-1
104,262,24
105,264,-2
106,263,-2
107,263,17
108,264,-15
109,262,-1
110,262,0
111,262,1
112,261,0
113,262,2
114,333,-7
115,330,-11
116,330,-11
117,331,-9
118,331,-10
119,332,-9
120,263,8
121,262,7
122,262,-1
123,262,-2
124,263,-1
125,263,1
126,264,1
127,265,0
128,264,-1
129,265,-1
130,265,-1
131,265,-1
132,265,0
133,265,2
134,265,3
135,265,2
136,266,0
137,266,0
138,265,1
139,265,0
140,265,-1
141,265,0
142,265,0
143,265,-17
144,265,1
145,265,0
146,265,20
147,265,19
148,265,17
149,265,0
150,265,-1
151,265,1
152,265,1
153,265,1
154,265,1
155,347,34
156,347,13
157,263,5
158,263,3
159,263,1
160,263,3
161,263,3
162,263,2
163,183,0
164,183,1
165,263,1
166,262,0
167,262,1
168,262,0
169,261,1
170,262,-2
171,262,29
172,261,27
173,262,0
174,262,27
175,261,-1
176,261,0
177,262,1
178,263,2
179,346,17
180,346,43
181,349,51
182,346,17
183,346,20
184,346,18
185,348,44
186,347,20
187,346,17
188,348,43
189,347,19
190,347,20
191,347,19
192,261,4
193,263,5
194,262,-14
195,263,4
196,263,3
197,263,3
198,263,3
199,262,4
200,262,2
201,262,3
202,262,3
203,262,3
204,262,2
205,262,3
206,263,3
207,263,3
208,262,1
209,262,1
210,262,0
211,263,0
212,262,-16
213,263,-1
214,263,-2
215,263,-2
216,262,-1
217,263,-11
218,262,1
219,261,-2
220,261,-1
221,260,-1
222,260,0
223,344,4
224,260,3
225,260,1
226,260,1
227,259,0
228,259,1
229,259,1
230,258,0
231,258,1
232,343,14
233,258,0
234,259,1
235,341,11
236,259,0
237,258,0
238,258,0
239,259,0
240,258,0
241,258,0
242,257,1
243,258,1
244,258,3
245,259,-1
246,259,-1
247,258,0
248,258,0
249,258,-1
250,258,-2
251,258,0
252,258,-1
253,258,-1
254,258,-1
255,258,-1
256,258,-1
257,258,-1
258,258,-2
259,258,-2
260,259,-2
261,259,-1
262,259,0
263,259,-1
264,259,-1
265,260,-1
266,260,0
267,260,-2
268,260,-1
269,260,1
270,260,0
271,259,2
272,259,1
273,259,-1
274,259,-2
275,260,-1
276,259,-2
277,259,-1
278,258,0
279,257,-1
280,258,0
281,258,0
282,258,-1
283,256,-2
284,257,-2
285,257,-2
286,257,-3
287,257,-2
288,257,-2
289,257,-3
290,256,-4
291,256,-3
292,256,-3
293,256,-4
294,256,-3
295,257,-2
296,257,-2
297,257,-3
298,257,-2
299,257,-3
300,180,-2
301,338,19
302,338,22
303,340,26
304,260,14
305,259,11
306,258,10
307,257,8
308,257,10
309,258,14
310,258,14
311,258,12
312,259,11
313,259,10
314,259,9
315,258,7
316,258,6
317,258,5
318,258,6
319,257,4
320,257,5
321,257,8
322,257,8
323,258,7
324,256,5
325,340,14
326,340,14
327,339,13
328,339,13
329,338,12
330,336,7
331,336,8
